source,target,relation,verdict,query,reasoning,passage_used
lithology in transported mass,seafloor effective friction angle,impacts,NOT_SUPPORTED,lithology in transported mass seafloor effective friction angle,"The source text does not mention either ""lithology in transported mass"" or ""seafloor effective friction angle."" It discusses the effective friction angle in the context of gravitational events and their characterization but does not relate these concepts to the specified geological terms.","cases, this must be linked to the friction coefficient m = tan d as for the saturation of Hf/Ri. 5.4. Effective Friction H/L [55] In geological literature, characterization of geologi- cal gravitational events very often make uses of the notion of effective friction me = H/L, where H is the fall height and L the horizontal runout distance [e.g., Siebert et al., 1987; McEwen, 1989; Stoopes and Sher"
lithology of underlying material downslope,seafloor effective friction angle,impacts,NOT_SUPPORTED,lithology of underlying material downslope seafloor effective friction angle,"The source text does not mention either the ""lithology of underlying material downslope"" or the ""seafloor effective friction angle."" It discusses concepts such as sediment cohesion, normal stress, pore pressure, and the propagation of shear surfaces, but does not establish a relationship between the","g s Y tan a (Middleton and Southard, 1984) where C is sediment cohesion, σ is normal stress (or weight of overburden), p is pore pressure, ϕ is the angle of internal friction, ρ is sediment density, g is acceleration due to gravity, s is solidity (or the complement of porosity), Y is sediment thickness, and α is slope angle. The shear surface propagates upslope in a radial fashion from a nucleatio"
sea level evolution,pore pressure increase by fluid migration,impacts,WEAK_SUPPORT,sea level evolution pore pressure increase by fluid migration,"The text suggests that the excess pore pressure is related to the time difference between sea level falls and rises, and that the migration of free gas is proportional to the duration of sea level falls. This indicates a relationship where changes in sea level affect pore pressure through gas migrat","previous sea level falls and lowstands. The inherited excess pore pressure possibly is proportional to the cumulated time difference between slow, punctuated sea level falls and much faster sea level rises (Fig. 11). Gas exsolution during sea level falls increases the gas saturation and generates upward migration of the free gas. Shallower layers are, therefore, submitted to local gas exsolution b"
flow behavior: elastic,US median slope,impacts,NOT_SUPPORTED,flow behavior: elastic US median slope,The source text does not mention any relationship between flow behavior: elastic and US median slope. There is no explicit or implicit statement linking these two concepts.,"Elverhoi A, Nystuen JP, Harbitz CB (in press) Transport mechanisms of sand in deep-marine environments— insights based on laboratory experiments. J Sediment Res Bryn P, Berg K, Forsberg CF, Solheim A, Kvalstad TJ (2005) Explaining the Storegga Slide. Mar Petrol Geol 22:11–19 Coussot P, Piau JM (1994) On the behaviour of fine mud suspensions. Rheologica Acta 33:175–184 De Blasio FV, Engvik L, Harbi"
topography confinement downwards,US median slope,impacts,NOT_SUPPORTED,topography confinement downwards US median slope,The source text does not mention the US median slope or any comparable concept related to slope measurements. It discusses the topography and slope of the seafloor in the Foz do Amazonas Basin but does not draw a comparison to the US median slope.,"of 3,800 m. The megaslide is laterally and frontally confined, favoring the development of a series of reverse faults rooted on detachment levels that progressively become shallower, thus decreasing the thickness of the mobilized deposits from 1,000 m to about 300 m basinward. Eventually they reach the seafloor forming pressure ridges (up to 50 m of relief) (Fig. 4). Fig. 3 Headwall scarp, displac"
frontal compression,US ramps or ridges,impacts,NOT_SUPPORTED,frontal compression US ramps or ridges,"The source text does not mention any concept related to ""US ramps or ridges"" or ""frontal compression"" in a way that links these two concepts together. The text discusses frontal ramps and thrusts in the context of marine transgressive complexes (MTCs) but does not establish a relationship with US-sp","frontal ramp (Frey Martinez et al., 2006). Thrusts typically affect the entire thickness of the MTC body in the vicinity of the ramp above the basal shear surface, into which they detach. In seismic sections, the presence of thrusts may be identiﬁed by the presence of sufﬁciently continuous reﬂections, offset along poten- tially steep, landward dipping surfaces (Fig. 14A). Measurements of thrust d"
flow direction,US median slope,impacts,NOT_SUPPORTED,flow direction US median slope,"The source text does not mention any concept related to the US median slope or provide any information that could be linked to it. The text focuses on seismic amplitude profiles, mass-transport deposits, and turbidity flows in the northeastern Gulf of Mexico.","Flow Direction FIG. 26.—Seismic ampli- tude profile and ex- tracted illuminated surface characterized by rugosity at top of a mass-transport de- posit, northeastern Gulf of Mexico. The relief on these hum- mocks ranges up to 35 m. Note that the high degree of rug- osity is somewhat lo- calized and does not characterize the en- tire mass-transport deposit. It is unclear whether these depos- its com"
flow direction,US ramps or ridges,impacts,WEAK_SUPPORT,flow direction US ramps or ridges,The text infers that the flow direction (downslope to the NW) is perpendicular to the ramps (which trend NE–SW). This implies a relationship between the flow direction and the ramps.,"down. In seismic section, ramps are easily identiﬁable in a similar way to faults or the headwall scarp (Frey Martinez et al., 2005), by ﬁrst tracking the basal shear surface and identifying where it ramps up or down to truncate bed-parallel strata below. In planform, the ramps can be seen as scarps or linear features that mark sharp topographical variations of the basal shear horizon (Fig. 7A). T"
erosion of underlying material,BS ramps,impacts,STRONG_SUPPORT,erosion of underlying material BS ramps,The text describes how the erosion of the least competent part of the basal shear surface leads to the formation of ramps (BS ramps). This directly links the erosion of underlying material to the formation of BS ramps.,"and fault-controlled ramps that either predated or oc- curred synchronously with the deposition of MTDs. Ramps with prom- ontories formed by the erosion of the least competent part of the basal shear surface. When there is complete erosion of the incompetent layer, they are manifested as structures normal to the direction of mass ﬂow and parallel during partial erosion. Furthermore, the action of "
volume,average thickness,related_to,WEAK_SUPPORT,volume average thickness,"The text mentions that the average thickness and volume of free gas reflections reflect the thickness and volume of gas-bearing strata, implying a relationship between average thickness and volume.",The chaotic and dimmed seismic reﬂections directly below the free gas zone are interpreted Table 1 Geometric characteristics of MTDs and free gas in Zones A and B. AT ¼ average thickness; MTD ¼ Mass-transport deposit. Please note that the average thickness and volume of free gas reﬂect the thickness and volume of gas-bearing strata in the two stuied zones. * means a conservative value. Locations T
basin depocenter position,lateral distribution of MTDs,impacts,NOT_SUPPORTED,basin depocenter position lateral distribution of MTDs,"The text describes changes in the lateral distribution of relative highs, which are related to the position of basin depocenters, and how these changes correlate with the migration of main depocenters. However, it does not directly state a relationship between the basin depocenter position and the l","slope towards the central part of the basin (Figs 5a and 6). The MTCs that are described in this paper are contained in the NW and central parts of seismic unit VI (MTC_2, MTC_2.1, MTC_2.2, MTC_2.3 and MTC_2.4) (Fig. 6). Location and distribution of the main depocentres in seismic unit VII (Fig. 5b) greatly di¡er from those of the previous basin con¢guration (Fig. 5a). The isopach map of seismic u"
existing geomorphology,lateral distribution of MTDs,impacts,NOT_SUPPORTED,existing geomorphology lateral distribution of MTDs,The source text does not mention any relationship between existing geomorphology and the lateral distribution of MTDs.,"competent seal intervals to promote lateral migration of gas into undeformed slope strata. There are no wells drilled through the MTDs investigated in this paper and, thus, the petro- physical properties of MTDs cannot be directly assessed. Yet, the MTDs in the study area are likely ﬁne-grained as deduced from units drilled at ODP Site 1146, and are similar to strata documented in the Amazon Fan ("
plowing effect on underlying material,BS strong amplitude,impacts,NOT_SUPPORTED,plowing effect on underlying material BS strong amplitude,"The source text does not mention any concepts related to the ""plowing effect on underlying material"" or ""BS strong amplitude."" There is no information provided that links these two concepts.","lizes and slides. The surfaces are often destroyed by the initial erosional processes associated with MTC develop- ment, but preservation of the basal condensed sections in- dicates the predominance of laminar £ow in the basal parts of the MTCs. RMS amplitude extractions taken from di¡erent seis- mic time intervals within the MTC_2.1unit reveal two main stages of development.An amplitude extractio"
remobilization,thickness variation,impacts,WEAK_SUPPORT,remobilization thickness variation,"The text implies that the process of dragging small beads by large beads can lead to a decrease in the thickness of the deposit of small beads, which directly relates to the concept of thickness variation.",Consequently the thickness of the deposit may be larger than the thickness of the deposit left by a mono- disperse ﬂow of small beads. 5.3 Combination of all these eﬀects We have identiﬁed eﬀects governing the bidisperse granu- lar ﬂows on inclined planes: outline and interface eﬀects. 214 The European Physical Journal E We have previously seen that the conﬁning leads to a rapid decrease of the wi
presence of preserved blocks,transparent facies distribution,impacts,WEAK_SUPPORT,presence of preserved blocks transparent facies distribution,"The text suggests that the presence of dominant transparent facies is associated with the generation of megaslides by a single catastrophic event, implying a relationship between the presence of preserved blocks (implied by transparent facies) and the transparent facies distribution.","as debris ﬂows containing internal preserved blocks, thus constituting typical submarine land-slides triggered by sudden catastrophic events. However, a few of these megaslides’ features are of note: (i) AM2 and AM5 display dominant transparent facies (Figs. 8 and 10 B and C), suggesting that each one may have been generated by a single sudden catastrophic event; (ii) by contrast, the prominent st"
post deposition regional deformation,deformed facies distribution,impacts,NOT_SUPPORTED,post deposition regional deformation deformed facies distribution,"The source text does not mention ""post deposition regional deformation"" or ""deformed facies distribution."" It discusses megaslides, gravity tectonic deformation, and sediment layers disruption, but does not establish a direct relationship between post deposition regional deformation and deformed fac","in the Megaslides in the Foz do Amazonas Basin 589 Foz do Amazonas Basin, either in the form of gravity tectonic deformation in the Amazon fan or in the form of sediment layers disruption and mass transport in the megaslides, may reflect the regional interaction of gravitational processes of different scales and frequencies. The associated stratigraphic horizon can thus be interpreted as an imperm"
sedimentation rate and type,HS downslope evolution,impacts,NOT_SUPPORTED,sedimentation rate and type HS downslope evolution,"The source text discusses sedimentation rates and types, as well as HS (highstand) and LS (lowstand) downslope evolution, but does not explicitly or implicitly link these concepts together.","on the upper slope in the Gulf of Lion (between 26 ka and 15 ka, Berne´ et al., 2004) but ‘‘instantaneous’’ rates can reach 1 m/yr in prodeltaic settings. According to Dubar and Anthony (1995) and L’homer (1980), an average sedimentation rate was estimated around 8 m/kyr between w12 ka and w7 ka (rapid sea level rise) and around 3.5 m/kyr between w7 ka and the present (slow sea level rise) for the"
sedimentation rate and type,MTD proportion in sedimentary pile,impacts,NOT_SUPPORTED,sedimentation rate and type MTD proportion in sedimentary pile,The source text does not mention MTD (Medi-terranean Transgressive Deposit) proportion or any related concept. It discusses sedimentation rates and types in various geological settings but does not link these directly to MTD proportion in the sedimentary pile.,"the Medi- terranean area, especially along the southwestern Adriatic Margin (Verdicchio and Trincardi, 2008), in the Gela Basin foredeep (Minisini and Trincardi, 2009), and in the Gulf of Cadiz (Mulder et al., 2003). Contourite deposits are generally characterized by high sedimentation rates and highwater content which are among the predisposing factors that concur to the lowering of the sediment "
subsidence/uplift,vertical distribution of MTDs,impacts,NOT_SUPPORTED,subsidence/uplift vertical distribution of MTDs,The source text does not mention any relationship between subsidence/uplift and the vertical distribution of MTDs. The text discusses the seismic characteristics of MTDs and their relation to gas chimneys and faults but does not address subsidence/uplift or its impact on the vertical distribution of,gas and MTDs in Zone B. (b) Corresponding interpretation of the seismic proﬁle in (a). Six MTDs (MTDb1-MTDb6) showing chaotic seismic reﬂections and free gas form vertically stacked enhanced seismic anomalies (SESAs) underneath the MTDs. The labelled gas chimneys (blue arrows) and faults (dashed red lines) serve as major ﬂuid pathways. See location of seismic section in (c); (c) RMS-amplitude map 
evaporite deformation & mud volcanism,BS median slope,impacts,NOT_SUPPORTED,evaporite deformation & mud volcanism BS median slope,"The source text does not mention either ""evaporite deformation"" or ""mud volcanism"" in relation to the ""BS median slope"". The text discusses mud volcanoes and their effects on mass transport deposits but does not reference the specific concepts provided.","of them (Fig. S1a and b). Mass transport deposit lateral ramps are curved and sigmoidal in plan view beside mud volcano edi¢ces (Fig. 6a).The deposit thickens up-dip of the mudvolcano, extending beyond its lateral scarp and overlying the stable lakebed. Amplitude extractions reveal £ow unit bound- aries that follow the margin scarp curvature down-dip of the mud volcano. Interpretation. The two str"
evaporite deformation & mud volcanism,US median slope,impacts,NOT_SUPPORTED,evaporite deformation & mud volcanism US median slope,The source text does not mention either evaporite deformation & mud volcanism or the US median slope. There is no information provided that links these two concepts.,"erosion at the end of the Messinian Salinity Crisis: evidence from the Levant basin, eastern Mediterranean. Basin Research 19, 1–18. Bertoni, C., Cartwright, J.A., 2006. Controls on the basinwide architecture of late Miocene (Messinian) evaporites on the Levant margin (Eastern Mediterranean). Sedimentary Geology 188-189, 93–114. Bertoni, C., Cartwright, J.A., 2005. 3D seismic analysis of circular "
existing geomorphology,BS ramps,impacts,WEAK_SUPPORT,existing geomorphology BS ramps,"The text mentions ""lateral ramps"" which can be inferred to be the same as ""BS ramps"" based on the context. It also states that these ramps are observed in the region where drilling took place, implying a relationship with the existing geomorphology.","glide planes (Figs. 3 and 4) that are subparallel to the axes of thrust anticlines (Alves et al. 2014). No groves or striations were identified on the basal surface of MTD 6, and no blocks have been identified in the failed material (Fig. 6). A particular charac- ter observed on seismic data is the lateral ramps in the region where C0018 was drilled (Fig. 6). Headwall scarps are observed close to "
flow direction,BS ramps,impacts,WEAK_SUPPORT,flow direction BS ramps,"The text describes how the basal shear surface interacts with the ramps, indicating a relationship between the flow direction (implied by the transport direction along the profile) and the behavior of the basal shear surface as it cuts across and up onto the ramps.","the south-east of the survey area (labelled ‘Ramp 1’ on Fig. 7A), and another in the north-western survey area (labelled ‘Ramp 2’ on Fig. 7A). Ramp 1 is relatively linear in trend (NE–SW), but on a smaller scale exhibits an irregular planform geometry. Ramp 2 has a more complex planimetric morphology (Fig. 7A), and weaves a sinuous path comprising of several inlets and a peninsula-like protrusion "
